
Barkhad Abdi


Amy Adams


Isabelle Adjani

Casey Affleck

Shohreh Aghdashloo

Brian Aherne

Danny Aiello


Eddie Albert

Jack Albertson

Alan Alda

Norma Aleandro

Jane Alexander

Mahershala Ali

Joan Allen

Woody Allen

Sara Allgood

Don Ameche

Judith Anderson

Julie Andrews


Anne Archer

Eve Arden

Alan Arkin

George Arliss

Patricia Arquette

Jean Arthur

Peggy Ashcroft

Fred Astaire

Mary Astor

Mischa Auer

Margaret Avery

Dan Aykroyd

Lew Ayres

Lauren Bacall

Hermione Baddeley

Mary Badham

Fay Bainter

Carroll Baker

Alec Baldwin

Christian Bale

Martin Balsam

Anne Bancroft


Ian Bannen

Javier Bardem


Adriana Barraza

Barbara Barrie

Ethel Barrymore

Lionel Barrymore

Richard Barthelmess

Mikhail Baryshnikov

Kim Basinger

Albert Bassermann

Angela Bassett

Alan Bates

Kathy Bates

Anne Baxter

Warner Baxter

Ned Beatty

Warren Beatty

Wallace Beery

Ed Begley


Barbara Bel Geddes

Ralph Bellamy

William Bendix

Roberto Benigni

Annette Bening

Tom Berenger

Candice Bergen

Ingrid Bergman

Elisabeth Bergner

Jeannie Berlin

Halle Berry


Charles Bickford

Theodore Bikel

Juliette Binoche

Karen Black

Betsy Blair

Linda Blair

Ronee Blakley

Cate Blanchett

Brenda Blethyn


Joan Blondell

Ann Blyth

Humphrey Bogart

Beulah Bondi

Helena Bonham Carter

Shirley Booth

Ernest Borgnine

Charles Boyer

Lorraine Bracco

Alice Brady

Kenneth Branagh

Klaus Maria Brandauer

Marlon Brando

Eileen Brennan

Walter Brennan

Abigail Breslin

Jeff Bridges

Jim Broadbent

Adrien Brody

Josh Brolin

Albert Brooks

Leslie Browne

Yul Brynner


Sandra Bullock

Victor Buono

Billie Burke

Catherine Burns

George Burns

Ellen Burstyn

Richard Burton

Gary Busey

Red Buttons

Spring Byington

James Caan

Adolph Caesar

Nicolas Cage

James Cagney

Michael Caine

Louis Calhern

Dyan Cannon

Steve Carell


Lynn Carlin

Art Carney

Leslie Caron

Diahann Carroll

Nancy Carroll

Peggy Cass

John Cassavetes

Seymour Cassel



George Chakiris


Jeff Chandler

Carol Channing

Stockard Channing

Charlie Chaplin

Jessica Chastain

Ruth Chatterton

Don Cheadle

Michael Chekhov

Cher

Maurice Chevalier

Julie Christie

Thomas Haden Church

Diane Cilento

Candy Clark

Patricia Clarkson

Jill Clayburgh

Montgomery Clift

George Clooney

Glenn Close


Charles Coburn

James Coburn

James Coco

Claudette Colbert

Toni Collette

Patricia Collinge

Pauline Collins

Ronald Colman

Betty Compson

Jennifer Connelly

Sean Connery

Tom Conti

Bradley Cooper

Chris Cooper

Gary Cooper

Gladys Cooper

Jackie Cooper

Ellen Corby

Valentina Cortese

Kevin Costner

Marion Cotillard

Tom Courtenay

