targets	context
Rebirth, scars, ngs b	In a sense it’s an improvement on “Rebirth,” even if a couple of the songs bear the scars of that period, particularly the Rick Rubinesque title track, and “Popular,” which has some of the new wave sizzle he was toying with.
Prokhorov, basketball, players, soccer, popularity, future, interaction, Nets, Russia, sport, hockey, Russians, coaches	Prokhorov said the visit would serve as a cornerstone for future interaction between players and coaches from the Nets and young Russians, with the aim of developing basketball in Russia, where the sport is a distant third in popularity behind soccer and hockey.
car, engineers, traffic light, rear-ended, accident, Google car	The only accident, engineers said, was when one Google car was rear-ended while stopped at a traffic light.
red, fiberglass, festival, Turku, garlic, exhibition, culture, Finnish bathhouses, 2011, sauna, houses, shaped	On the front lawn we lingered in front of his work-in-progress: a fiberglass sauna shaped like a garlic clove, one of five Finnish bathhouses that will be on display in SaunaLab, an exhibition at Turku 2011, the coming yearlong culture festival.
cappuccino, ticket, months, dance, dance, performance	During warmer months, a casual passer-by without a ticket to the night’s performance can enjoy a cappuccino with the dance aficionados on the waterfront terrace, but the main draw is the celebrated Ms. Waltz and her dancers, interlocked in twisted, shifting embraces.
Lombard Street, San Francisco, streets	One even drove itself down Lombard Street in San Francisco, one of the steepest and curviest streets in the nation.
Prokhorov, arena of CSKA Moscow, game, exhibition, years, players, practice, Nets, Russia, court, club	The stay was just long enough for a little practice and an exhibition in which the Nets were interspersed on the court with top players from youth leagues across Russia — some as young as 8 years old — for a light-hearted game in the arena of CSKA Moscow, the professional Russian club Prokhorov once owned.
miles, boulevard, Unter den Linden, Ostbahnhof, German capital’s, nightclubs	Radialsystem V, miles away from the German capital’s grand boulevard of Unter den Linden, is surrounded by a cluster of gritty nightclubs near the Ostbahnhof train station.
mbard Street
nightmare, modernist, World War I, Cubism, Futurism	Its narrative goes something like this: After the exhausting nightmare of World War I, Europe’s early modernist vanguard backed away from disruptive experimental styles like Cubism and Futurism.
nausea, father, dizzy spells, cancer, Alzheimer’s disease, heart ailment, mother	His father had a heart ailment, his mother had dizzy spells and nausea, and both were worried about Alzheimer’s disease and cancer.
parents, medical marijuana	But with age and the growing acceptance of medical marijuana, his parents were curious.
research, gossiping	New research finds that gossiping can be good for you — as long as you have something nice to say.
gossip	But it seems the greater pleasure comes from more temperate gossip.
experimentation	It failed less for its experimentation, which was spotty, than for the strenuousness with which he pursued it.
history	I found the whole thing totally engrossing: a survey-style piece of investigative history with a bomb ticking away inside.
research, scientific, Rikers Island, aggressive, album, idea, album, sentence, jail	“Rebirth,” the last album he released before he began serving a one-year jail sentence at Rikers Island, was his quixotic attempt at a rap-rock album, an out-of-date idea that he treated like aggressive scientific research.
alarmists	But the alarmists have not seen anything yet.
New York, windows, catwalk, teardrops, commuters, curved, floor, shape, video, walls, Grand Central Terminal	Inside, it’s even wackier: curved walls, windows in the shape of teardrops, and a catwalk with a tiny video screen embedded in the floor that shows an endless loop of antlike commuters rushing through Grand Central Terminal in New York.
marketers, lawsuits, Internet, Internet privacy, computer users, Worries, consumer, anxiety, conspiracy theories	Worries over Internet privacy have spurred lawsuits, conspiracy theories and consumer anxiety as marketers and others invent new ways to track computer users on the Internet.
person, driving, wheel	Harder to notice was that the person at the wheel was not actually driving.
blue, park, yellow, red, house, leaf-shaped, floor plan, Turku, LEAF, Finland, green, roof	“LIFE ON A LEAF,” a whimsical yellow house that sits in a wooded park at the edge of Turku in southern Finland, is a lopsided construction with a bright red, blue and green roof and a leaf-shaped floor plan.
Buster Keaton, chair, ladder, dance, audience	A tall dancer feigns clumsiness with a slyly graceful gawkiness that would do Buster Keaton proud, stumbling around a ladder and a chair to the delight of the audience.
Los Angeles, San Francisco, roof, Toyota Prius, Highway 1, driving	Anyone driving the twists of Highway 1 between San Francisco and Los Angeles recently may have glimpsed a Toyota Prius with a curious funnel-like cylinder on the roof.
man, rucksack, tutu, accordion	The short, bearded man in the tutu wanders onstage, an accordion strapped to his back like a rucksack.
research, marijuana	They looked at some research and decided marijuana was worth a try.
gossiping, women, person, men, short-term, person, emotional, fictional, undergraduates	In the first study, intended to measure a person’s short-term emotional reaction to gossiping, 140 men and women, primarily undergraduates, were asked to talk about a fictional person either positively or negatively.
years, parents, Illinois, marijuana, supplying, writer	Bryan, 46, a writer who lives in Illinois, began supplying his parents about five years ago, after he told them about his own marijuana use.
beef tenderloin, world, China, trade imbalances, renminbi, Europe, Treasury Secretary, Japan, Canada, currency, Timothy F. Geithner, scallops	Over seared scallops and beef tenderloin, Treasury Secretary Timothy F. Geithner urged his counterparts from Europe, Canada and Japan to help persuade China to let its currency, the renminbi, rise in value — a crucial element in redressing the trade imbalances that are threatening recovery around the world.
fan, Nets	If the Nets pick up a strong Russian fan base in the process, that would be nice, too, he said.
middle-age, rites, families, marijuana, parents	To the rites of middle-age passage, some families are adding another: buying marijuana for aging parents.
artists, conservatism	To some degree recuperative conservatism worked; it gave artists a way to keep moving when an old way seemed blocked.
Embassy, Friday, economic, dinner, economic, international, Canadian, Obama administration, world, problem	At a private dinner on Friday at the Canadian Embassy, finance officials from seven world economic powers focused on the most vexing international economic problem facing the Obama administration.
ancient Greece, Italian Renaissance, traditional	They retreated to traditional forms and looked back to an imagined classical past — ancient Greece, the Italian Renaissance — for images of wholeness and harmony.
box office	Boilerplate is safe box office, and we’ve gotten our share lately.
social psychologist, presentation, September, husband	In a presentation in September, Jennifer Cole, a social psychologist, and Hannah Scrivener reported results from two related studies, both of which demonstrate that it’s in one’s self-interest to say “So-and-so’s second husband is adorable” rather than “She married that lout?”
Internet, Internet, HTML 5, privacy	Nearly everyone who uses the Internet will face the privacy risks that come with those capabilities, which are an integral part of the Web language that will soon power the Internet: HTML 5.
gun-possession, jailed, charge	(He was jailed on a gun-possession charge.)
interior designer, artist, artists, sculptor	Jan-Erik Andersson — the artist, sculptor and interior designer who, with contributions from 20 other artists, created the place, and gives tours to groups of visitors who make arrangements in advance — was waiting for me.
online, marketers, computer users, years, Web developers, advertisers	In the next few years, a powerful new suite of capabilities will become available to Web developers that could give marketers and advertisers access to many more details about computer users’ online activities.
I Am Not a Human Being, recording, month, album, Lil Wayne, songs	From somewhere among those recording sessions, and those rumored to be slated for “Tha Carter IV,” his next album, came the songs found on “I Am Not a Human Being,” an uncentered collection of odds and ends meant to sate interest until Lil Wayne’s release from Rikers, which is expected to be early next month.
miles, miles, navigation system, cars, technician, human, human, wheel	With someone behind the wheel to take control if something goes awry and a technician in the passenger seat to monitor the navigation system, seven test cars have driven 1,000 miles without human intervention and more than 140,000 miles with only occasional human control.
country, wealthy, greeted, Russia, sponsors, home, team, Prokhorov, players	“Welcome to Russia,” Prokhorov said as he greeted his players during their first trip to a country he hopes will become a kind of second home for the team — as well as a source of wealthy sponsors.
September, house, landmark, Turku’s harbor, Turku, woods	On an unseasonably warm September morning I traveled to the Leaf house, which has become something of a local landmark, passing Turku’s harbor overlooked by pine-forested hills, then turning into a clearing in the woods.
annual meetings of the International Monetary Fund, currency	But the next afternoon, the annual meetings of the International Monetary Fund ended with a tepid statement that made only fleeting and indirect references to the simmering currency tensions.
pumping station, room, hall, Berlin, boiler, dance troupe, machine, man, performance	Even though Berliners know about the dance troupe, visitors often miss its frequently sold-out performances in the towering space of the former machine hall and boiler room of the pumping station.
project, artificial-intelligence, vehicles that can drive themselves, car, Google, car, software, human	The car is a project of Google, which has been working in secret but in plain view on vehicles that can drive themselves, using artificial-intelligence software that can sense anything near the car and mimic the decisions made by a human driver.
