CJ, Keppinger, #Astros, Downs	#Astros lineup for tonight . Keppinger sits , Downs plays 2B , CJ bats 5th . @alysonfooter http://bit.ly/bHvgCS 
Gainesville, salsa caliente, Costa Lounge	If you are staying in Gainesville , come check out Costa Lounge TONIGHT ! Say you are with salsa caliente and get in ... http://fb.me/FZVzm8H9 
Benitez	JV soccer leads 4-1 after Benitez scores again , less than 7 mins to play 
Robinhoods bay, Jasmin	Ah a Friday night free ! Avin a drink with friends . Lent the T4 to friend to camp in . Off camping to Robinhoods bay In Jasmin . Good weekend 
Kick-Ass	Last film I can watch on a decent telly for a while tonight . Kick-Ass is very tempting indeed . 
JFK	After I pet a kitten on JFK , the owners informed me it 's ' double-pawed ' ( polydactyl) , which is " a form of retardation in the animal kingdom " 
Anna Wintor	@vogueglamGIRL Ah I know ! She is simply the best in The Sept Issue . My boyfriend 's aunt worked for Anna Wintor in NY . 
Coolum	Time to begin looking for somewhere to live around Coolum . Sun , sand , surf and bikinis . Looking forward to my new phase in life . 
CocoFunka, Indiesent Exposure	Costa Rican group CocoFunka power this week 's Indiesent Exposure http://ht.ly/2G4nS by @fuseboxradio on @planetill 
	@Phoebe1_ and i also loved the last years eurovision entry !! hoppaa ! they were cool too !! 
	@Mys_Perdita ha ye theyr may be severe consiquences of our meeting like the waypeople talk bout theday sum1 told adolf he wasnt blond enuf : S 
Rick Ross, Drake	When the last time you ran into Rick Ross and Drake twice in the same day at 2 diff video shoot locations . Today I did ! 
ADHD	Aggressive Kids With ADHD May Not Need Antipsychotic Meds http://t.co/JfGm0uH 
Wisconsin	Today I got a promotion at work , and tomorrow I 'm going home to Wisconsin for a few days . So content with life right now . :) 
GA, Columbus	Columbus , GA : @TimmNintey146 and 'll be mixing an 80 's and other throwbacks dance party tonight at eighty-five . Come kickit ! 
London Irish	Oh before I forget good luck also to the cherry and whites against London Irish . Only a win will do . Gives me more excuses to celebrate ! 
ACF Friday Large Group, PITT University, Cathedral of Learning G24	Yo kids ! Today 's ACF Friday Large Group is at PITT University ! It 's at Cathedral of Learning G24 at 7pm ! Be sure to check it out ! 
gucci	dude got gucci symbol tatted all over his face http://mediacheckout.blogspot.com/2010/09/nuh-uhhhhhhh-yesterday-we-showed-you.html 
kings of leon	RT @DaymiCarolina : Yayaayayay kings of leon tonight !!! 
